dataset	cohort_role	field	row_count	missing_or_unknown_count	missing_or_unknown_fraction	value_counts
H1-H6 positives + H7-H16 review	locked_positive	copy_number_estimate	114	0	0.0	0.2749999999999999=1; 0.2816000000000001=1; 0.3024=1; 0.3371419309191816=1; 1.8764=1; 1.903=1; 1.9122=1; 1.9154=1; 1.9166=1; 1.9168=1; 1.9216=1; 1.9244=1; 1.9256=1; 1.927=1; 1.93=1; 1.9304=1; 1.9348=1; 1.9378=1; 1.9382=1; 1.941=1; 1.9424=1; 1.9470000000000005=1; 1.9474=1; 1.948=1; 1.9486=1; 1.9526=1; 1.9536=1; 1.9538=1; 1.9558=1; 1.9586=1; 2.0238=1; 2.048=1; 2.0544=1; 2.0564=1; 2.0578=1; 2.0608=1; 2.0638=1; 2.0648=1; 2.0712=1; 2.0714=1; 2.073=1; 2.074=1; 2.0776=1; 2.0858=1; 2.0868=1; 2.0882=1; 2.0892=1; 2.0912=1; 2.0918=1; 2.0928=1; 2.094=1; 2.0982=1; 2.1038=2; 2.1066=1; 2.1084=1; 2.1086=1; 2.1098=1; 2.1144=1; 2.1196=1; 2.1338=1; 2.138=1; 2.1434=2; 2.1454=1; 2.1482=1; 2.149235711647704=1; 2.1634=1; 2.1638=1; 2.1696=1; 2.1724=1; 2.1832=1; 2.1938=1; 2.1946=1; 2.1948=1; 2.199=1; 2.2014=1; 2.2058=1; 2.2072=1; 2.2082=1; 2.2084=1; 2.2252=1; 2.2274=1; 2.2298=1; 2.2302=1; 2.2422=1; 2.2468=1; 2.2506=1; 2.2582=1; 2.2616=1; 2.2754=1; 2.2846=1; 2.2928=1; 2.2964=1; 2.3000744675811=1; 2.3106=1; 2.3202=1; 2.324=1; 2.3294=1; 2.332=1; 2.3582=1; 2.3746=1; 2.413=1; 2.4244=1; 2.4325846148112427=1; 2.499800000919298=1; 2.637=1; 2.7206=1; 2.729=1; 3.1508000000000003=1; 3.1782=1; 3.1818=1; 3.1842=1; 3.2552000000000003=1
H1-H6 positives + H7-H16 review	locked_positive	sex_adjusted_copy_number	114	0	0.0	0.2749999999999999=1; 0.2816000000000001=1; 0.3024=1; 0.3371419309191816=1; 1.8764=1; 1.903=1; 1.9122=1; 1.9154=1; 1.9166=1; 1.9168=1; 1.9216=1; 1.9244=1; 1.9256=1; 1.927=1; 1.93=1; 1.9304=1; 1.9348=1; 1.9378=1; 1.9382=1; 1.941=1; 1.9424=1; 1.9470000000000005=1; 1.9474=1; 1.948=1; 1.9486=1; 1.9526=1; 1.9536=1; 1.9538=1; 1.9558=1; 1.9586=1; 2.0238=1; 2.048=1; 2.0544=1; 2.0564=1; 2.0578=1; 2.0608=1; 2.0638=1; 2.0648=1; 2.0712=1; 2.0714=1; 2.073=1; 2.074=1; 2.0776=1; 2.0858=1; 2.0868=1; 2.0882=1; 2.0892=1; 2.0912=1; 2.0918=1; 2.0928=1; 2.094=1; 2.0982=1; 2.1038=2; 2.1066=1; 2.1084=1; 2.1086=1; 2.1098=1; 2.1144=1; 2.1196=1; 2.1338=1; 2.138=1; 2.1434=2; 2.1454=1; 2.1482=1; 2.149235711647704=1; 2.1634=1; 2.1638=1; 2.1696=1; 2.1724=1; 2.1832=1; 2.1938=1; 2.1946=1; 2.1948=1; 2.199=1; 2.2014=1; 2.2058=1; 2.2072=1; 2.2082=1; 2.2084=1; 2.2252=1; 2.2274=1; 2.2298=1; 2.2302=1; 2.2422=1; 2.2468=1; 2.2506=1; 2.2582=1; 2.2616=1; 2.2754=1; 2.2846=1; 2.2928=1; 2.2964=1; 2.3000744675811=1; 2.3106=1; 2.3202=1; 2.324=1; 2.3294=1; 2.332=1; 2.3582=1; 2.3746=1; 2.413=1; 2.4244=1; 2.4325846148112427=1; 2.499800000919298=1; 2.637=1; 2.7206=1; 2.729=1; 3.1508000000000003=1; 3.1782=1; 3.1818=1; 3.1842=1; 3.2552000000000003=1
H1-H6 positives + H7-H16 review	locked_positive	mosaic_fraction_proxy	114	0	0.0	0.0238=1; 0.0414000000000001=1; 0.0442=1; 0.0462=1; 0.0464=1; 0.0474000000000001=1; 0.048=1; 0.0514000000000001=1; 0.052=1; 0.0525999999999999=1; 0.0529999999999997=1; 0.0543999999999997=1; 0.0564=1; 0.0576=1; 0.0577999999999998=1; 0.0589999999999999=1; 0.0607999999999999=1; 0.0618=1; 0.0621999999999998=1; 0.0638=1; 0.0647999999999999=1; 0.0651999999999999=1; 0.0695999999999998=1; 0.07=1; 0.0712000000000001=1; 0.0714000000000001=1; 0.0729999999999999=2; 0.0739999999999998=1; 0.0744=1; 0.0756000000000001=1; 0.0775999999999998=1; 0.0784=1; 0.0831999999999999=1; 0.0833999999999999=1; 0.0846=1; 0.0857999999999998=1; 0.0868000000000002=1; 0.0878000000000001=1; 0.0882=1; 0.0891999999999999=1; 0.0912000000000001=1; 0.0918000000000001=1; 0.0928=1; 0.0939999999999998=1; 0.0969999999999999=1; 0.0981999999999998=1; 0.1038000000000001=2; 0.1065999999999998=1; 0.1084=1; 0.1086=1; 0.1097999999999999=1; 0.1143999999999998=1; 0.1196000000000001=1; 0.1235999999999999=1; 0.1337999999999999=1; 0.1379999999999999=1; 0.1434000000000002=2; 0.1453999999999999=1; 0.1482000000000001=1; 0.1492357116477038=1; 0.1634000000000002=1; 0.1638000000000001=1; 0.1695999999999999=1; 0.1724000000000001=1; 0.1831999999999998=1; 0.1937999999999999=1; 0.1945999999999998=1; 0.1947999999999998=1; 0.1989999999999998=1; 0.2013999999999995=1; 0.2057999999999999=1; 0.2071999999999998=1; 0.2082000000000001=1; 0.2084000000000001=1; 0.2252=1; 0.2273999999999998=1; 0.2298=1; 0.2301999999999999=1; 0.2421999999999999=1; 0.2467999999999999=1; 0.2505999999999999=1; 0.2582=1; 0.2616=1; 0.2753999999999998=1; 0.2846000000000002=1; 0.2928000000000001=1; 0.2964000000000002=1; 0.3000744675811=1; 0.3106=1; 0.3201999999999998=1; 0.3239999999999998=1; 0.3294000000000001=1; 0.3319999999999998=1; 0.3582000000000001=1; 0.3746=1; 0.4129999999999998=1; 0.4243999999999999=1; 0.4325846148112426=1; 0.499800000919298=1; 0.637=1; 0.7206000000000001=1; 0.7290000000000001=1; 1.0=9
H1-H6 positives + H7-H16 review	locked_positive	mosaic_proxy_status	114	0	0.0	AVAILABLE=114
H1-H6 positives + H7-H16 review	locked_positive	event_arm_class	114	0	0.0	autosome=107; sex_chromosome=7
H1-H6 positives + H7-H16 review	locked_positive	event_par_class	114	0	0.0	autosome=107; mixed_par_nonpar=3; nonpar=4
H1-H6 positives + H7-H16 review	locked_positive	crosses_centromere	114	0	0.0	0=22; 1=92
H1-H6 positives + H7-H16 review	locked_positive	crosses_par_boundary	114	0	0.0	0=111; 1=3
H1-H6 positives + H7-H16 review	locked_positive	whole_chromosome_fraction	114	0	0.0	0.0116279069767441=1; 0.0125=1; 0.01875=1; 0.0476190476190476=1; 0.0497237569060773=1; 0.0552486187845303=1; 0.0603015075376884=1; 0.0612244897959183=1; 0.08125=1; 0.0897435897435897=1; 0.0915492957746478=1; 0.1=1; 0.1166666666666666=2; 0.1219512195121951=1; 0.1666666666666666=2; 0.168=1; 0.176=2; 0.2=1; 0.236=1; 0.2439024390243902=5; 0.2486187845303867=1; 0.26=1; 0.2676056338028169=1; 0.2720588235294117=2; 0.2857142857142857=1; 0.3205128205128205=1; 0.3296703296703296=1; 0.3313953488372093=1; 0.35=4; 0.3516483516483517=3; 0.3525641025641026=2; 0.3529411764705882=2; 0.35625=1; 0.360655737704918=1; 0.3626373626373626=2; 0.3888888888888889=1; 0.390625=1; 0.4186046511627907=1; 0.4422110552763819=1; 0.4835164835164835=6; 0.5=6; 0.51875=1; 0.5226130653266332=1; 0.5333333333333333=6; 0.5510204081632653=3; 0.5862068965517241=1; 0.5882352941176471=1; 0.5961538461538461=1; 0.6=1; 0.6025641025641025=1; 0.6046511627906976=1; 0.60625=1; 0.6065573770491803=1; 0.627906976744186=3; 0.6346153846153846=5; 0.6462585034013606=1; 0.6685082872928176=1; 0.673469387755102=1; 0.6740331491712708=1; 0.6829268292682927=5; 0.7237569060773481=1; 0.7239583333333334=5; 0.7572815533980582=2; 0.759493670886076=1; 0.7777777777777778=1; 0.8103448275862069=1
H1-H6 positives + H7-H16 review	locked_positive	cnvpro_large_segment_tier	114	0	0.0	large_ge10mb=102; large_ge4mb=8; reportable_ge2mb=2; review_ge1mb=2
H1-H6 positives + H7-H16 review	locked_positive	waviness	114	0	0.0	0.037724357954391=31; 0.0402370138114822=17; 0.0422588635681825=9; 0.048622230581909=17; 0.0578422122530537=21; 0.0675484067845378=19
H1-H6 positives + H7-H16 review	locked_positive	sample_noise_status	114	0	0.0	OK=114
H1-H6 positives + H7-H16 review	locked_positive	cnvpro_like_evidence_status	114	0	0.0	SHADOW_EVIDENCE_ONLY=114
H1-H6 positives + H7-H16 review	presumed_negative_review	cnvpro_like_gc_rc_background_status	193	0	0.0	GC_RC_AVAILABLE=193
H1-H6 positives + H7-H16 review	presumed_negative_review	dynamic_reference_status	193	0	0.0	OK=193
H1-H6 positives + H7-H16 review	presumed_negative_review	matched_negative_source	193	193	1.0	UNKNOWN_BACKGROUND=193
H1-H6 positives + H7-H16 review	presumed_negative_review	matched_negative_percentile	193	193	1.0	NA=193
H1-H6 positives + H7-H16 review	presumed_negative_review	copy_number_estimate	193	0	0.0	1.4044=1; 1.5338=1; 1.7678=1; 1.8544=1; 1.879=1; 1.8808=1; 1.8852=1; 1.8952=1; 1.9086=1; 1.9206=1; 1.9232=1; 1.9248=1; 1.9262=1; 1.9282=1; 1.932=1; 1.9346=1; 1.935=1; 1.9352=1; 1.9410000000000005=1; 1.9416=1; 1.9436=1; 1.945=1; 1.9454=1; 1.9476=1; 1.9528000000000003=1; 1.9582=1; 1.9592=1; 1.9608=1; 1.9672=1; 1.9698=1; 2.0222=1; 2.027=1; 2.0298=1; 2.0316=1; 2.032=1; 2.0334=1; 2.035=1; 2.0352=1; 2.0378=1; 2.0386=1; 2.039=1; 2.0392=1; 2.0398=1; 2.0404=1; 2.0408=1; 2.0426=1; 2.0446=1; 2.0454=1; 2.0462=1; 2.0466=1; 2.047=1; 2.0482=1; 2.0484=1; 2.0522=1; 2.0526=1; 2.054=1; 2.0556=1; 2.0568=1; 2.0572=1; 2.0574=1; 2.0578=2; 2.058=1; 2.0592=1; 2.062=1; 2.0636=1; 2.0638=1; 2.0642=1; 2.0644=1; 2.065=1; 2.0656=1; 2.0668=1; 2.0686=1; 2.0732=1; 2.0744=1; 2.0746=1; 2.078=1; 2.0784=1; 2.0824=1; 2.0836=1; 2.085=1; 2.086=1; 2.087=1; 2.0888=1; 2.0902=1; 2.0906=1; 2.0944=1; 2.0948=1; 2.096=1; 2.0966=1; 2.099=1; 2.0992=1; 2.1006=2; 2.1012=1; 2.103=1; 2.1094=1; 2.1106=2; 2.1118=1; 2.1144=1; 2.1192=1; 2.1206=2; 2.122=1; 2.1258=1; 2.1278=1; 2.129=1; 2.1298=1; 2.1376=1; 2.1378=1; 2.1386=1; 2.1394=1; 2.1414=1; 2.145=1; 2.1454=1; 2.1522=1; 2.1528=2; 2.1536=1; 2.1556=1; 2.1564=2; 2.1572=1; 2.1578=1; 2.1582=2; 2.1616=1; 2.1624=1; 2.1626=1; 2.163=1; 2.1636=1; 2.1646=1; 2.1668=1; 2.1678=1; 2.1744=1; 2.1746=1; 2.1756=1; 2.1794=1; 2.1842=1; 2.186=1; 2.1868=1; 2.1882=1; 2.1896=1; 2.19=1; 2.1938=1; 2.1944=1; 2.196=1; 2.1986=1; 2.199=1; 2.2052=1; 2.2058=1; 2.2126=1; 2.2134=1; 2.2148=1; 2.2174=1; 2.2178=1; 2.2204=2; 2.2244=1; 2.2394=1; 2.2482=1; 2.2542=1; 2.264=1; 2.2712=1; 2.2802=2; 2.2978=1; 2.299=1; 2.316=1; 2.3188=1; 2.3208=1; 2.3236=1; 2.3334=1; 2.337=1; 2.3506=1; 2.3534=1; 2.3554=1; 2.3616=1; 2.375=1; 2.3862=1; 2.3894=1; 2.392=1; 2.4134=1; 2.4148=1; 2.4154=1; 2.4414=1; 2.455=1; 2.4816=1; 2.5018=1; 2.5138=1; 2.5312=1; 2.556=1
